,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Sin_Portfolio_Excess_Returns,USREC
1976-06-30,0.03007857575757575,0.0405,-0.0132,0.0071,0.0043,-0.0042,0.02577857575757575,0
1976-07-31,0.04121721212121211,-0.0107,0.0029,0.0173,0.0047,-0.0013,0.03651721212121211,0
1976-08-31,0.028049794117647055,-0.0056,-0.02,0.0081,0.0042,-0.0085,0.023849794117647056,0
1976-09-30,0.0189430303030303,0.0207,-0.0002,-0.0029,0.0044,0.0022,0.014543030303030297,0
1976-10-31,-0.007245121212121217,-0.0242,0.0022,-0.0018,0.0041,-0.0044,-0.011345121212121216,0
1976-11-30,-0.0034708181818181695,0.0036,0.0232,0.0151,0.004,0.0291,-0.00747081818181817,0
1976-12-31,0.10214766666666665,0.0565,0.0303,0.0227,0.004,0.0073,0.09814766666666665,0
1977-01-31,-0.04255388235294117,-0.0405,0.0476,0.0427,0.0036,0.04,-0.04615388235294117,0
1977-02-28,0.00781540625,-0.0194,0.0104,0.0047,0.0035,0.0036,0.004315406250000001,0
1977-03-31,0.016466875000000002,-0.0137,0.01,0.0109,0.0038,0.0055,0.012666875000000003,0
1977-04-30,0.023579906250000005,0.0015,-0.0012,0.0338,0.0038,0.0421,0.019779906250000003,0
1977-05-31,0.04377715625,-0.0145,0.0118,0.0085,0.0037,0.0203,0.040077156249999996,0
1977-06-30,0.023749249999999993,0.0471,0.0209,-0.0074,0.004,0.0166,0.019749249999999993,0
1977-07-31,0.013541062500000001,-0.0169,0.0216,-0.0056,0.0042,0.0032,0.0093410625,0
1977-08-31,-0.0007783870967741913,-0.0175,0.0148,-0.027,0.0044,-0.017,-0.0051783870967741915,0
1977-09-30,-0.00962406451612903,-0.0027,0.0134,-0.0052,0.0043,0.02,-0.01392406451612903,0
1977-10-31,-0.018491806451612896,-0.0438,0.0125,0.0175,0.0049,-0.0008,-0.023391806451612894,0
1977-11-30,0.04714870967741936,0.04,0.0373,0.0026,0.005,0.0201,0.04214870967741936,0
1977-12-31,0.015163838709677416,0.0027,0.0132,-0.0029,0.0049,0.0158,0.010263838709677417,0
1978-01-31,0.006019096774193555,-0.0601,0.0224,0.0336,0.0049,-0.0066,0.0011190967741935547,0
1978-02-28,0.037927562500000005,-0.0138,0.0359,0.0083,0.0046,0.0197,0.033327562500000005,0
1978-03-31,0.06811634374999999,0.0285,0.0349,0.0118,0.0053,0.0137,0.06281634374999999,0
1978-04-30,0.06478965624999998,0.0788,0.0045,-0.0354,0.0054,0.0086,0.05938965624999998,0
1978-05-31,0.08257909375,0.0176,0.0456,-0.0052,0.0051,0.0283,0.07747909375,0
1978-06-30,0.06238503125000001,-0.0169,0.0166,0.0057,0.0054,0.0274,0.056985031250000005,0
1978-07-31,0.04285053124999999,0.0511,0.0023,-0.0115,0.0056,0.0417,0.03725053124999999,0
1978-08-31,0.09957928125000001,0.0375,0.0506,-0.0051,0.0056,0.0283,0.09397928125000002,0
1978-09-30,-0.006445903225806453,-0.0143,-0.0043,0.0189,0.0062,-0.0314,-0.012645903225806453,0
1978-10-31,-0.1474585806451613,-0.1191,-0.0986,0.0138,0.0068,-0.0846,-0.1542585806451613,0
