,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1988-09-30,0.018011,0.033,-0.0131,-0.0075,0.0062,0.0027,0.011810999999999999,0
1988-10-31,-0.0346095,0.0115,-0.0293,0.0205,0.0061,0.0133,-0.0407095,0
1988-11-30,-0.02261399999999995,-0.0229,-0.0172,0.0141,0.0057,0.0033,-0.02831399999999995,0
1988-12-31,-0.022964,0.0149,0.0195,-0.0169,0.0063,0.0049,-0.029264,0
1989-01-31,0.061166999999999944,0.061,-0.0223,0.006,0.0055,-0.0016,0.055666999999999946,0
1989-02-28,-0.01846549999999995,-0.0225,0.0282,0.0101,0.0061,0.0099,-0.024565499999999952,0
1989-03-31,-0.0132575,0.0157,0.0067,0.0058,0.0067,0.0351,-0.0199575,0
1989-04-30,0.13457550000000001,0.0433,-0.0068,-0.0142,0.0067,0.0177,0.1278755,0
1989-05-31,-0.003633,0.0335,-0.0005,-0.0088,0.0079,0.0152,-0.011533000000000002,0
1989-06-30,0.012976500000000002,-0.0135,-0.0102,0.0225,0.0071,0.0043,0.0058765000000000015,0
1989-07-31,-0.00331349999999995,0.072,-0.0414,-0.0279,0.007,0.0541,-0.010313499999999951,0
1989-08-31,-0.0071990000000000005,0.0144,0.0056,0.006,0.0074,-0.0012,-0.014599,0
1989-09-30,-0.06349199999999995,-0.0076,0.0032,-0.0127,0.0065,0.034,-0.06999199999999996,0
1989-10-31,-0.0284225,-0.0367,-0.0323,-0.0111,0.0068,0.0132,-0.0352225,0
1989-11-30,-0.0003494999999999991,0.0103,-0.0124,-0.0109,0.0069,0.026,-0.007249499999999999,0
1989-12-31,0.07317950000000001,0.0116,-0.0236,0.0016,0.0061,0.028,0.06707950000000001,0
1990-01-31,-0.16535799999999995,-0.0785,-0.0124,0.0085,0.0057,-0.0327,-0.17105799999999996,0
1990-02-28,0.0730235,0.0111,0.0099,0.0064,0.0057,-0.0055,0.06732350000000001,0
1990-03-31,0.036701,0.0183,0.015,-0.0292,0.0064,0.018,0.030300999999999998,0
1990-04-30,-0.029974,-0.0336,-0.0046,-0.0259,0.0069,0.0239,-0.036874000000000004,0
1990-05-31,0.09247449999999996,0.0842,-0.0253,-0.0383,0.0068,0.0303,0.08567449999999996,0
1990-06-30,0.14261000000000001,-0.0109,0.014,-0.0193,0.0063,0.024,0.13631000000000001,0
1990-07-31,-0.06106350000000001,-0.019,-0.0312,-0.0003,0.0068,0.061,-0.06786350000000001,0
1990-08-31,-0.1169495,-0.1015,-0.0357,0.0164,0.0066,0.0188,-0.12354949999999999,1
1990-09-30,-0.13,-0.0612,-0.0365,0.0064,0.006,0.0578,-0.136,1
1990-10-31,-0.0081675,-0.0192,-0.0557,0.001,0.0068,0.0671,-0.014967499999999998,1
1990-11-30,0.1048615,0.0635,0.0043,-0.031,0.0057,-0.0548,0.0991615,1
1990-12-31,0.07839499999999995,0.0246,0.0081,-0.017,0.006,0.0029,0.07239499999999995,1
1991-01-31,-0.01540699999999995,0.0469,0.0381,-0.016,0.0052,-0.0645,-0.020606999999999952,1
1991-02-28,0.2033455,0.0719,0.0395,-0.0058,0.0048,-0.0461,0.1985455,1
1991-03-31,0.006726000000000051,0.0265,0.0393,-0.0139,0.0044,0.0287,0.002326000000000051,1
1991-04-30,0.0562115,-0.0028,0.0048,0.015,0.0053,-0.0236,0.0509115,0
