,gvkey,iid,datadate,tic,trt1m,naics,sic
80555,1408,01,31/03/1982,BEAM.2,6.6007,312140.0,2085.0
80556,1408,01,30/04/1982,BEAM.2,6.192,312140.0,2085.0
80557,1408,01,31/05/1982,BEAM.2,-8.1633,312140.0,2085.0
80558,1408,01,30/06/1982,BEAM.2,8.4416,312140.0,2085.0
80559,1408,01,31/07/1982,BEAM.2,-6.8862,312140.0,2085.0
80560,1408,01,31/08/1982,BEAM.2,14.4695,312140.0,2085.0
80561,1408,01,30/09/1982,BEAM.2,2.8653,312140.0,2085.0
80562,1408,01,31/10/1982,BEAM.2,7.5209,312140.0,2085.0
80563,1408,01,30/11/1982,BEAM.2,1.0554,312140.0,2085.0
80564,1408,01,31/12/1982,BEAM.2,-4.1775,312140.0,2085.0
80565,1408,01,31/01/1983,BEAM.2,1.3624,312140.0,2085.0
80566,1408,01,28/02/1983,BEAM.2,-3.2877,312140.0,2085.0
80567,1408,01,31/03/1983,BEAM.2,10.4816,312140.0,2085.0
80568,1408,01,30/04/1983,BEAM.2,12.0513,312140.0,2085.0
80569,1408,01,31/05/1983,BEAM.2,-7.3227,312140.0,2085.0
80570,1408,01,30/06/1983,BEAM.2,-3.5176,312140.0,2085.0
80571,1408,01,31/07/1983,BEAM.2,7.2917,312140.0,2085.0
80572,1408,01,31/08/1983,BEAM.2,-1.165,312140.0,2085.0
80573,1408,01,30/09/1983,BEAM.2,13.0,312140.0,2085.0
80574,1408,01,31/10/1983,BEAM.2,1.5929,312140.0,2085.0
80575,1408,01,30/11/1983,BEAM.2,1.1062,312140.0,2085.0
80576,1408,01,31/12/1983,BEAM.2,3.7199,312140.0,2085.0
80577,1408,01,31/01/1984,BEAM.2,4.4304,312140.0,2085.0
80578,1408,01,29/02/1984,BEAM.2,-7.4343,312140.0,2085.0
80579,1408,01,31/03/1984,BEAM.2,-3.3259,312140.0,2085.0
80580,1408,01,30/04/1984,BEAM.2,4.0138,312140.0,2085.0
80581,1408,01,31/05/1984,BEAM.2,-4.2601,312140.0,2085.0
80582,1408,01,30/06/1984,BEAM.2,3.7471,312140.0,2085.0
80583,1408,01,31/07/1984,BEAM.2,1.1287,312140.0,2085.0
80584,1408,01,31/08/1984,BEAM.2,9.4866,312140.0,2085.0
80585,1408,01,30/09/1984,BEAM.2,2.2774,312140.0,2085.0
80586,1408,01,31/10/1984,BEAM.2,3.5425,312140.0,2085.0
80587,1408,01,30/11/1984,BEAM.2,0.3968,312140.0,2085.0
80588,1408,01,31/12/1984,BEAM.2,1.581,312140.0,2085.0
80589,1408,01,31/01/1985,BEAM.2,0.7393,312140.0,2085.0
80590,1408,01,28/02/1985,BEAM.2,6.8627,312140.0,2085.0
80591,1408,01,31/03/1985,BEAM.2,1.8349,312140.0,2085.0
80592,1408,01,30/04/1985,BEAM.2,-7.2072,312140.0,2085.0
80593,1408,01,31/05/1985,BEAM.2,5.2039,312140.0,2085.0
80594,1408,01,30/06/1985,BEAM.2,-0.1873,312140.0,2085.0
80595,1408,01,31/07/1985,BEAM.2,-4.1276,312140.0,2085.0
80596,1408,01,31/08/1985,BEAM.2,-4.3444,312140.0,2085.0
80597,1408,01,30/09/1985,BEAM.2,-8.316,312140.0,2085.0
80598,1408,01,31/10/1985,BEAM.2,3.4014,312140.0,2085.0
80599,1408,01,30/11/1985,BEAM.2,9.386,312140.0,2085.0
80600,1408,01,31/12/1985,BEAM.2,7.332,312140.0,2085.0
80601,1408,01,31/01/1986,BEAM.2,3.814,312140.0,2085.0
80602,1408,01,28/02/1986,BEAM.2,13.5436,312140.0,2085.0
80603,1408,01,31/03/1986,BEAM.2,9.8039,312140.0,2085.0
80604,1408,01,30/04/1986,BEAM.2,12.9464,312140.0,2085.0
80605,1408,01,31/05/1986,BEAM.2,-7.892,312140.0,2085.0
80606,1408,01,30/06/1986,BEAM.2,7.9595,312140.0,2085.0
80607,1408,01,31/07/1986,BEAM.2,0.2681,312140.0,2085.0
80608,1408,01,31/08/1986,BEAM.2,0.6818,312140.0,2085.0
80609,1408,01,30/09/1986,BEAM.2,-9.7987,312140.0,2085.0
80610,1408,01,31/10/1986,BEAM.2,14.3333,312140.0,2085.0
80611,1408,01,30/11/1986,BEAM.2,-5.5263,312140.0,2085.0
80612,1408,01,31/12/1986,BEAM.2,-5.2925,312140.0,2085.0
80613,1408,01,31/01/1987,BEAM.2,17.6941,312140.0,2085.0
80614,1408,01,28/02/1987,BEAM.2,2.0202,312140.0,2085.0
80615,1408,01,31/03/1987,BEAM.2,-3.7129,312140.0,2085.0
80616,1408,01,30/04/1987,BEAM.2,-8.7404,312140.0,2085.0
80617,1408,01,31/05/1987,BEAM.2,-0.5183,312140.0,2085.0
80618,1408,01,30/06/1987,BEAM.2,7.1633,312140.0,2085.0
80619,1408,01,31/07/1987,BEAM.2,7.262,312140.0,2085.0
80620,1408,01,31/08/1987,BEAM.2,16.8766,312140.0,2085.0
